Ref #,Title,Link,Type,FP Number
GCF/B.41/03/Add.06,Consideration of accreditation proposals – Addendum VI Accreditation assessment of APL149,https://www.greenclimate.fund/document/gcf-b41-03-add06,Action item,N/A
GCF/B.41/12,Co-Chairs proposal on modifications to  the initial no-objection procedure,https://www.greenclimate.fund/document/gcf-b41-12,Action item,N/A
GCF/B.41/08,Guidance from the twenty-ninth session of the Conference of the Parties to the  United Nations Framework Convention  on Climate Change: Co-Chairs’ proposal,https://www.greenclimate.fund/document/gcf-b41-08,Action item,N/A
GCF/B.41/02/Add.01,Consideration of funding proposals – Addendum I Funding proposal package for SAP048,https://www.greenclimate.fund/document/gcf-b41-02-add01,Action item,N/A
GCF/B.41/02/Add.02,Consideration of funding proposals – Addendum II Funding proposal package for SAP049,https://www.greenclimate.fund/document/gcf-b41-02-add02,Action item,N/A
GCF/B.41/02/Add.03,Consideration of funding proposals – Addendum III Funding proposal package for FP255,https://www.greenclimate.fund/document/gcf-b41-02-add03,Action item,FP255
GCF/B.41/02/Add.04,Consideration of funding proposals – Addendum IV Funding proposal package for FP256,https://www.greenclimate.fund/document/gcf-b41-02-add04,Action item,FP256
GCF/B.41/02/Add.05,Consideration of funding proposals – Addendum V Funding proposal package for FP257,https://www.greenclimate.fund/document/gcf-b41-02-add05,Action item,FP257
GCF/B.41/02/Add.06,Consideration of funding proposals – Addendum VI Funding proposal package for FP258,https://www.greenclimate.fund/document/gcf-b41-02-add06,Action item,FP258
GCF/B.41/02/Add.07,Consideration of funding proposals – Addendum VII Funding proposal package for FP259,https://www.greenclimate.fund/document/gcf-b41-02-add07,Action item,FP259
GCF/B.41/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP260,https://www.greenclimate.fund/document/gcf-b41-02-add08,Action item,FP260
GCF/B.41/02/Add.10,Consideration of funding proposals – Addendum X Funding proposal package for FP262,https://www.greenclimate.fund/document/gcf-b41-02-add10,Action item,FP262
GCF/B.41/02/Add.11,Consideration of funding proposals – Addendum XI Funding proposal package for FP263,https://www.greenclimate.fund/document/gcf-b41-02-add11,Action item,FP263
GCF/B.40/02/Add.16/Rev.01,Consideration of funding proposals – Addendum XVI Funding proposal package for FP254,https://www.greenclimate.fund/document/gcf-b40-02-add16-rev01,Action item,FP254
GCF/B.40/02/Add.07/Rev.01,Consideration of funding proposals – Addendum VII Funding proposal package for FP245,https://www.greenclimate.fund/document/gcf-b40-02-add07-rev01,Action item,FP245
GCF/B.40/02/Add.14/Rev.01,Consideration of funding proposals – Addendum XIV Funding proposal package for FP252,https://www.greenclimate.fund/document/gcf-b40-02-add14-rev01,Action item,FP252
GCF/B.40/02/Add.10/Rev.01,Consideration of funding proposals – Addendum X Funding proposal package for FP248,https://www.greenclimate.fund/document/gcf-b40-02-add10-rev01,Action item,FP248
GCF/B.40/03/Rev.01,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b40-03-rev01,Action item,N/A
GCF/B.40/13,Co-Chairs proposal on increasing the  efficiency and effectiveness of Board  Committees,https://www.greenclimate.fund/document/gcf-b40-13,Action item,N/A
GCF/B.40/13/Add.01,Co-Chairs proposal on increasing the efficiency and effectiveness of Board Committees – Addendum I: Matrix of comments received and responses to comments,https://www.greenclimate.fund/document/gcf-b40-13-add01,Action item,N/A
GCF/B.40/03/Add.03,Consideration of accreditation proposals – Addendum III Accreditation assessment of APL139,https://www.greenclimate.fund/document/gcf-b40-03-add03,Action item,N/A
GCF/B.40/03/Add.04,Consideration of accreditation proposals – Addendum IV Accreditation assessment of APL140,https://www.greenclimate.fund/document/gcf-b40-03-add04,Action item,N/A
GCF/B.40/03/Add.05,Consideration of accreditation proposals – Addendum V Accreditation assessment of APL141,https://www.greenclimate.fund/document/gcf-b40-03-add05,Action item,N/A
GCF/B.40/03/Add.06,Consideration of accreditation proposals – Addendum VI Accreditation assessment of APL142,https://www.greenclimate.fund/document/gcf-b40-03-add06,Action item,N/A
GCF/B.40/03/Add.07,Consideration of accreditation proposals – Addendum VII Accreditation assessment of APL143,https://www.greenclimate.fund/document/gcf-b40-03-add07,Action item,N/A
GCF/B.40/03/Add.08,Consideration of accreditation proposals – Addendum VIII Upgrade assessment of the Caribbean Development Bank (CDB),https://www.greenclimate.fund/document/gcf-b40-03-add08,Action item,N/A
GCF/B.40/10,Consideration of funding proposals: Consideration of  a request for changes in the scope of funded activity FP077 (“Ulaanbaatar Green Affordable Housing and  Resilient Urban Renewal Project (AHURP)”),https://www.greenclimate.fund/document/gcf-b40-10,Action item,FP077
GCF/B.40/02/Add.01,Consideration of funding proposals – Addendum I Funding proposal package for SAP044,https://www.greenclimate.fund/document/gcf-b40-02-add01,Action item,N/A
GCF/B.40/02/Add.02,Consideration of funding proposals – Addendum II Funding proposal package for SAP045,https://www.greenclimate.fund/document/gcf-b40-02-add02,Action item,N/A
GCF/B.40/02/Add.03,Consideration of funding proposals – Addendum III Funding proposal package for SAP046,https://www.greenclimate.fund/document/gcf-b40-02-add03,Action item,N/A
GCF/B.40/02/Add.04,Consideration of funding proposals – Addendum IV Funding proposal package for SAP047,https://www.greenclimate.fund/document/gcf-b40-02-add04,Action item,N/A
GCF/B.40/02/Add.05,Consideration of funding proposals – Addendum V Funding proposal package for FP243,https://www.greenclimate.fund/document/gcf-b40-02-add05,Action item,FP243
GCF/B.40/02/Add.06,Consideration of funding proposals – Addendum VI Funding proposal package for FP244,https://www.greenclimate.fund/document/gcf-b40-02-add06,Action item,FP244
GCF/B.40/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP246,https://www.greenclimate.fund/document/gcf-b40-02-add08,Action item,FP246
GCF/B.40/02/Add.15,Consideration of funding proposals – Addendum XV Funding proposal package for FP253,https://www.greenclimate.fund/document/gcf-b40-02-add15,Action item,FP253
GCF/B.40/02,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b40-02,Action item,N/A
GCF/B.40/02/Add.09,Consideration of funding proposals – Addendum IX Funding proposal package for FP247,https://www.greenclimate.fund/document/gcf-b40-02-add09,Action item,FP247
GCF/B.40/02/Add.11,Consideration of funding proposals – Addendum XI Funding proposal package for FP249,https://www.greenclimate.fund/document/gcf-b40-02-add11,Action item,FP249
GCF/B.40/02/Add.13,Consideration of funding proposals – Addendum XIII Funding proposal package for FP251,https://www.greenclimate.fund/document/gcf-b40-02-add13,Action item,FP251
GCF/B.40/02/Add.12,Consideration of funding proposals – Addendum XII Funding proposal package for FP250,https://www.greenclimate.fund/document/gcf-b40-02-add12,Action item,FP250
GCF/B.39/07,Consideration of funding proposals: Consideration of a request for changes in the scope of funded activity FP037 (“Integrated Flood Management to Enhance Climate Resilience of the Vaisigano River Catchment in Samoa”),https://www.greenclimate.fund/document/gcf-b39-07,Action item,FP037
GCF/B.39/10,Guidance from the twenty-eighth session  of the Conference of the Parties to the  United Nations Framework Convention  on Climate Change: Co-Chairs’ proposal,https://www.greenclimate.fund/document/gcf-b39-10,Action item,N/A
GCF/B.39/02,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b39-02,Action item,N/A
GCF/B.39/02/Add.01,Consideration of funding proposals – Addendum I Funding proposal package for SAP038,https://www.greenclimate.fund/document/gcf-b39-02-add01,Action item,N/A
GCF/B.39/02/Add.02,Consideration of funding proposals – Addendum II Funding proposal package for SAP039,https://www.greenclimate.fund/document/gcf-b39-02-add02,Action item,N/A
GCF/B.39/02/Add.03,Consideration of funding proposals – Addendum III Funding proposal package for SAP040,https://www.greenclimate.fund/document/gcf-b39-02-add03,Action item,N/A
GCF/B.39/02/Add.04,Consideration of funding proposals – Addendum IV Funding proposal package for SAP041,https://www.greenclimate.fund/document/gcf-b39-02-add04,Action item,N/A
GCF/B.39/02/Add.05,Consideration of funding proposals – Addendum V Funding proposal package for SAP042,https://www.greenclimate.fund/document/gcf-b39-02-add05,Action item,N/A
GCF/B.39/02/Add.06/Rev.01,Consideration of funding proposals – Addendum VI Funding proposal package for SAP043,https://www.greenclimate.fund/document/gcf-b39-02-add06-rev01,Action item,N/A
GCF/B.39/02/Add.07,Consideration of funding proposals - Addendum VII Funding proposal package for FP232,https://www.greenclimate.fund/document/gcf-b39-02-add07,Action item,FP232
GCF/B.39/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP233,https://www.greenclimate.fund/document/gcf-b39-02-add08,Action item,FP233
GCF/B.39/02/Add.09/Rev.01,Consideration of funding proposals – Addendum IX Funding proposal package for FP234,https://www.greenclimate.fund/document/gcf-b39-02-add09-rev01,Action item,FP234
GCF/B.39/02/Add.10,Consideration of funding proposals - Addendum X  Funding proposal package for FP235,https://www.greenclimate.fund/document/gcf-b39-02-add10,Action item,FP235
GCF/B.39/02/Add.11,Consideration of funding proposals – Addendum XI Funding proposal package for FP236,https://www.greenclimate.fund/document/gcf-b39-02-add11,Action item,FP236
GCF/B.39/02/Add.12/Rev.01,Consideration of funding proposals – Addendum XIV Funding proposal package for FP237,https://www.greenclimate.fund/document/gcf-b39-02-add12-rev01,Action item,FP237
GCF/B.39/02/Add.13,Consideration of funding proposals - Addendum XIII Funding proposal package for FP238,https://www.greenclimate.fund/document/gcf-b39-02-add13,Action item,FP238
GCF/B.39/02/Add.14,Consideration of funding proposals – Addendum XIV Funding proposal package for FP239,https://www.greenclimate.fund/document/gcf-b39-02-add14,Action item,FP239
GCF/B.39/02/Add.15/Rev.01,Consideration of funding proposals – Addendum XV Funding proposal package for FP240,https://www.greenclimate.fund/document/gcf-b39-02-add15-rev01,Action item,FP240
GCF/B.39/02/Add.16/Rev.01,Consideration of funding proposals – Addendum XVI Funding proposal package for FP241,https://www.greenclimate.fund/document/gcf-b39-02-add16-rev01,Action item,FP241
GCF/B.39/03,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b39-03,Action item,N/A
GCF/B.39/02/Add.17,Consideration of funding proposals – Addendum XVII Funding proposal package for FP242,https://www.greenclimate.fund/document/gcf-b39-02-add17,Action item,FP242
GCF/B.39/03/Add.01,Consideration of accreditation proposals – Addendum I: Status of the fulfilment of accreditation conditions,https://www.greenclimate.fund/document/gcf-b39-03-add01,Action item,N/A
GCF/B.39/03/Add.02,Consideration of accreditation proposals – Addendum II: Accreditation assessment of APL133,https://www.greenclimate.fund/document/gcf-b39-03-add02,Action item,N/A
GCF/B.39/03/Add.03,Consideration of accreditation proposals – Addendum III: Accreditation assessment of APL134,https://www.greenclimate.fund/document/gcf-b39-03-add03,Action item,N/A
GCF/B.39/03/Add.04,Consideration of accreditation proposals – Addendum IV: Accreditation assessment of APL135,https://www.greenclimate.fund/document/gcf-b39-03-add04,Action item,N/A
GCF/B.39/03/Add.05,Consideration of accreditation proposals – Addendum V: Accreditation assessment of APL136,https://www.greenclimate.fund/document/gcf-b39-03-add05,Action item,N/A
GCF/B.39/03/Add.06,Consideration of accreditation proposals – Addendum VI: Accreditation assessment of APL137,https://www.greenclimate.fund/document/gcf-b39-03-add06,Action item,N/A
GCF/B.39/03/Add.07,Consideration of accreditation proposals – Addendum VII: Accreditation assessment of APL138,https://www.greenclimate.fund/document/gcf-b39-03-add07,Action item,N/A
GCF/B.39/03/Add.08,Consideration of accreditation proposals – Addendum VIII: Upgrade assessment MOHE DOE Antigua and Barbuda,https://www.greenclimate.fund/document/gcf-b39-03-add08,Action item,N/A
GCF/B.39/03/Add.09,Consideration of accreditation proposals – Addendum IX: Upgrade assessment FMCN,https://www.greenclimate.fund/document/gcf-b39-03-add09,Action item,N/A
GCF/B.39/03/Add.10,Consideration of accreditation proposals – Addendum X: Upgrade assessment MOF Ethiopia,https://www.greenclimate.fund/document/gcf-b39-03-add10,Action item,N/A
GCF/B.39/03/Add.11,Consideration of accreditation proposals – Addendum XI: Upgrade assessment PKSF,https://www.greenclimate.fund/document/gcf-b39-03-add11,Action item,N/A
GCF/B.38/08,Guidance from the twenty-eighth session of the Conference of the Parties to the United Nations Framework Convention on Climate Change: Co-Chairs’ proposal,https://www.greenclimate.fund/document/gcf-b38-08,Action item,N/A
GCF/B.38/03,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b38-03,Action item,N/A
GCF/B.38/02,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b38-02,Action item,N/A
GCF/B.38/02/Add.06,Consideration of funding proposals – Addendum VI Funding proposal package for FP226,https://www.greenclimate.fund/document/gcf-b38-02-add06,Action item,FP226
GCF/B.38/02/Add.07,Consideration of funding proposals – Addendum VII Funding proposal package for FP227,https://www.greenclimate.fund/document/gcf-b38-02-add07,Action item,FP227
GCF/B.38/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP228,https://www.greenclimate.fund/document/gcf-b38-02-add08,Action item,FP228
GCF/B.38/02/Add.09,Consideration of funding proposals – Addendum IX Funding proposal package for FP229,https://www.greenclimate.fund/document/gcf-b38-02-add09,Action item,FP229
GCF/B.38/02/Add.10,Consideration of funding proposals – Addendum X Funding proposal package for FP230,https://www.greenclimate.fund/document/gcf-b38-02-add10,Action item,FP230
GCF/B.38/02/Add.11,Consideration of funding proposals – Addendum XI Funding proposal package for FP231,https://www.greenclimate.fund/document/gcf-b38-02-add11,Action item,FP231
GCF/B.37/14,Proposal on the financing of results-based payments for REDD+,https://www.greenclimate.fund/document/gcf-b37-14,Action item,N/A
GCF/B.37/14/Add.01,Proposal on the financing of results-based payments for REDD+ – Addendum I: Response matrix for Board comments received on the draft document,https://www.greenclimate.fund/document/gcf-b37-14-add01,Action item,N/A
GCF/B.37/02/Add.07,Consideration of funding proposals – Addendum VII Funding proposal package for FP216,https://www.greenclimate.fund/document/gcf-b37-02-add07,Action item,FP216
GCF/B.37/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP217,https://www.greenclimate.fund/document/gcf-b37-02-add08,Action item,FP217
GCF/B.37/07,Status of approved funding proposals: adding host countries in respect of FP086 (Green Cities Facility),https://www.greenclimate.fund/document/gcf-b37-07,Action item,FP086
GCF/B.37/02/Add.01,Consideration of funding proposals – Addendum I Funding proposal package for SAP030,https://www.greenclimate.fund/document/gcf-b37-02-add01,Action item,N/A
GCF/B.37/02/Add.02,Consideration of funding proposals – Addendum II Funding proposal package for SAP031,https://www.greenclimate.fund/document/gcf-b37-02-add02,Action item,N/A
GCF/B.37/02/Add.03,Consideration of funding proposals – Addendum III Funding proposal package for SAP032,https://www.greenclimate.fund/document/gcf-b37-02-add03,Action item,N/A
GCF/B.37/02/Add.04,Consideration of funding proposals – Addendum IV Funding proposal package for SAP033,https://www.greenclimate.fund/document/gcf-b37-02-add04,Action item,N/A
GCF/B.37/02/Add.05,Consideration of funding proposals – Addendum V Funding proposal package for FP214,https://www.greenclimate.fund/document/gcf-b37-02-add05,Action item,FP214
GCF/B.37/02/Add.06,Consideration of funding proposals – Addendum VI Funding proposal package for FP215,https://www.greenclimate.fund/document/gcf-b37-02-add06,Action item,FP215
GCF/B.37/02/Add.10,Consideration of funding proposals – Addendum X Funding proposal package for FP219,https://www.greenclimate.fund/document/gcf-b37-02-add10,Action item,FP219
GCF/B.37/02/Add.11,Consideration of funding proposals – Addendum XI Funding proposal package for FP220,https://www.greenclimate.fund/document/gcf-b37-02-add11,Action item,FP220
GCF/B.37/02/Add.12,Consideration of funding proposals – Addendum XII Funding proposal package for FP221,https://www.greenclimate.fund/document/gcf-b37-02-add12,Action item,FP221
GCF/B.37/02/Add.13,Consideration of funding proposals – Addendum XIII Funding proposal package for FP222,https://www.greenclimate.fund/document/gcf-b37-02-add13,Action item,FP222
GCF/B.37/02/Add.14,Consideration of funding proposals – Addendum XIV Funding proposal package for FP223,https://www.greenclimate.fund/document/gcf-b37-02-add14,Action item,FP223
GCF/B.37/02/Add.15,Consideration of funding proposals – Addendum XV Funding proposal package for FP224,https://www.greenclimate.fund/document/gcf-b37-02-add15,Action item,FP224
GCF/B.37/02,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b37-02,Action item,N/A
GCF/B.37/02/Add.09,Consideration of funding proposals – Addendum IX Funding proposal package for FP218,https://www.greenclimate.fund/document/gcf-b37-02-add09,Action item,FP218
GCF/B.37/03,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b37-03,Action item,N/A
GCF/B.37/03/Add.01,Consideration of accreditation proposals – Addendum I: Status of the fulfilment of accreditation conditions,https://www.greenclimate.fund/document/gcf-b37-03-add01,Action item,N/A
GCF/B.37/03/Add.02,Consideration of accreditation proposals – Addendum II: Accredited entity institutional-level reporting,https://www.greenclimate.fund/document/gcf-b37-03-add02,Action item,N/A
GCF/B.37/03/Add.03,Consideration of accreditation proposals – Addendum III: Re-accreditation assessment for RAPL043,https://www.greenclimate.fund/document/gcf-b37-03-add03,Action item,N/A
GCF/B.37/03/Add.04,Consideration of accreditation proposals – Addendum IV: Re-accreditation assessment for RAPL053,https://www.greenclimate.fund/document/gcf-b37-03-add04,Action item,N/A
GCF/B.37/03/Add.06,Consideration of accreditation proposals – Addendum VI: Re-accreditation assessment for RAPL038,https://www.greenclimate.fund/document/gcf-b37-03-add06,Action item,N/A
GCF/B.37/03/Add.07,Consideration of accreditation proposals – Addendum VII: Re-accreditation assessment for RAPL041,https://www.greenclimate.fund/document/gcf-b37-03-add07,Action item,N/A
GCF/B.37/03/Add.08,Consideration of accreditation proposals – Addendum VIII: Re-accreditation assessment for RAPL054,https://www.greenclimate.fund/document/gcf-b37-03-add08,Action item,N/A
GCF/B.37/03/Add.09,Consideration of accreditation proposals – Addendum IX: Accreditation assessment of APL122,https://www.greenclimate.fund/document/gcf-b37-03-add09,Action item,N/A
GCF/B.37/03/Add.10,Consideration of accreditation proposals – Addendum X: Accreditation assessment of APL123,https://www.greenclimate.fund/document/gcf-b37-03-add10,Action item,N/A
GCF/B.37/03/Add.11,Consideration of accreditation proposals – Addendum XI: Accreditation assessment of APL124,https://www.greenclimate.fund/document/gcf-b37-03-add11,Action item,N/A
GCF/B.37/03/Add.05,Consideration of accreditation proposals – Addendum V: Re-accreditation assessment for RAPL040,https://www.greenclimate.fund/document/gcf-b37-03-add05,Action item,N/A
GCF/B.36/03,Consideration of accreditation proposals,https://www.greenclimate.fund/document/gcf-b36-03,Action item,N/A
GCF/B.36/02,Consideration of funding proposals,https://www.greenclimate.fund/document/gcf-b36-02,Action item,N/A
GCF/B.36/02/Add.01,Consideration of funding proposals – Addendum I Funding proposal package for FP206,https://www.greenclimate.fund/document/gcf-b36-02-add01,Action item,FP206
GCF/B.36/02/Add.02/Rev.01,Consideration of funding proposals – Addendum II Funding proposal package for FP207,https://www.greenclimate.fund/document/gcf-b36-02-add02-rev01,Action item,FP207
GCF/B.36/02/Add.03,Consideration of funding proposals – Addendum III Funding proposal package for FP208,https://www.greenclimate.fund/document/gcf-b36-02-add03,Action item,FP208
GCF/B.36/02/Add.04,Consideration of funding proposals – Addendum IV Funding proposal package for FP209,https://www.greenclimate.fund/document/gcf-b36-02-add04,Action item,FP209
GCF/B.36/02/Add.05,Consideration of funding proposals – Addendum V Funding proposal package for FP210,https://www.greenclimate.fund/document/gcf-b36-02-add05,Action item,FP210
GCF/B.36/02/Add.06,Consideration of funding proposals – Addendum VI Funding proposal package for FP211,https://www.greenclimate.fund/document/gcf-b36-02-add06,Action item,FP211
GCF/B.36/02/Add.07,Consideration of funding proposals – Addendum VII Funding proposal package for FP212,https://www.greenclimate.fund/document/gcf-b36-02-add07,Action item,FP212
GCF/B.36/02/Add.08,Consideration of funding proposals – Addendum VIII Funding proposal package for FP213,https://www.greenclimate.fund/document/gcf-b36-02-add08,Action item,FP213
GCF/B.36/02/Add.13,Consideration of funding proposals – Addendum XIII Funding proposal package for SAP026,https://www.greenclimate.fund/document/gcf-b36-02-add13,Action item,N/A
GCF/B.36/02/Add.14/Rev.01,Consideration of funding proposals – Addendum XIV Funding proposal package for SAP027,https://www.greenclimate.fund/document/gcf-b36-02-add14-rev01,Action item,N/A
GCF/B.36/02/Add.15,Consideration of funding proposals – Addendum XV Funding proposal package for SAP028,https://www.greenclimate.fund/document/gcf-b36-02-add15,Action item,N/A
